overall,year,player_0,pos,college,weight_0,forty,vertical,bench,broad,threecone,shuttle,Height,side,team_1,pos_rk,grade
81,0.352941176,0.335289187,0.238095238,0.032894737,0.946637427,0.998706532,0.982783357,0.977099237,0.965095986,0.998650847,0.998994585,0.902439024,0,0.333333333,0.961247637,0.960837887
-999,0.176470588,0.759262364,0.571428571,0.664473684,0.963450292,0.999810955,0.978957437,0.974236641,0.95113438,0.999662712,0.999452497,0.93902439,1,1,0,0
77,0.294117647,0.053981559,0,0.013157895,0.956140351,0.99919407,0.982305117,0.97519084,0.968586387,0.998928614,0.99948236,0.914634146,0.333333333,0.333333333,0.948015123,0.974499089
84,0.411764706,0.684492875,0.666666667,0.9375,0.909356725,0.998706532,0.985174558,0.974236641,0.967713787,0.998115154,0.998895039,0.890243902,0,0.888888889,0.945179584,0.984517304
-999,0.176470588,0.237049455,0.952380952,0.069078947,0.918128655,0.998895577,0.984218077,0.985687023,0.968586387,0.998045712,0.998875129,0.914634146,1,1,0,0
-999,0.647058824,0.15255658,0.142857143,0.845394737,0.926900585,0.998845829,0,0.974236641,0,0,0,0.93902439,1,1,0.963137996,0.949908925
-999,0.705882353,0.245096396,0.238095238,0.351973684,0.957602339,0.999273668,0.983261597,0,0.958987784,0.998730209,0.999074222,0.926829268,1,1,0.964083176,0.960837887
-999,1,0.414417435,0.952380952,0.555921053,0.910818713,0.998557286,0.985652798,0.96851145,0.97556719,0.997837387,0.998765629,0.914634146,1,1,0,0
94,0.823529412,0.024308466,0.714285714,0.335526316,0.953216374,0.999343316,0.980870397,0.976145038,0.956369983,0.999007976,0.999283268,0.951219512,0.333333333,0.888888889,0.958412098,0.963570128
-999,0.058823529,0.392455993,0.714285714,0.565789474,0.948830409,0.999373166,0.981348637,0.969465649,0.958115183,0.999117099,0.999024449,0.951219512,1,1,0.965973535,0.938979964
131,0.823529412,0.568147527,0.857142857,0.039473684,0.896929825,0.998417989,0.987565758,0.967557252,0.978184991,0.997886989,0.998795493,0.890243902,0.333333333,0.527777778,0.95463138,0.971766849
-999,0.235294118,0.495892707,0.952380952,0.651315789,0.915935673,0.99880603,0,0.974236641,0,0,0,0.951219512,1,1,0,0
-999,0.529411765,0.244928751,1,0.720394737,0.861111111,0.998557286,0.986131038,0.958969466,0.966841187,0,0.998974675,0.841463415,1,1,0,0
-999,0.529411765,0.334283319,0.80952381,0.259868421,0.903508772,0.998607034,0.988043998,0,0.97469459,0.998055633,0.998656128,0.93902439,1,1,0,0
-999,0.235294118,0.924056999,0.142857143,0.819078947,0.935672515,0.998736381,0,0,0,0,0,0.914634146,1,1,0,0
207,0.588235294,0.690192791,0,0.088815789,0.953947368,0.999293567,0.980392157,0.97519084,0.961605585,0.998571485,0.998904993,0.914634146,0.333333333,0.25,0.95557656,0.93715847
71,0.941176471,0.560268231,0.19047619,0.848684211,0.944444444,0.99878613,0,0.982824427,0,0.99834332,0,0.914634146,0,0.055555556,0.948015123,0.988160291
173,0,0.972338642,0.047619048,0.506578947,0.865497076,0.998417989,0.988522238,0.963740458,0.972076789,0.998025872,0.998506809,0.853658537,0,0.361111111,0.973534972,0.945355191
92,0.058823529,0.970159262,0.142857143,0.391447368,0.925438596,0.99879608,0.989000478,0.977099237,0.978184991,0.998214357,0.99885522,0.87804878,0,0.361111111,0.960302457,0.960837887
104,0.176470588,0.464207879,0.142857143,0.555921053,0.930555556,0.998875678,0.988043998,0.978053435,0.97469459,0.998164755,0.998795493,0.93902439,0,0.805555556,0.957466919,0.971766849
191,0.764705882,0.988097234,0.904761905,0.430921053,0.874269006,0.998497587,0.987565758,0.971374046,0.978184991,0.997698504,0.998576491,0.865853659,0,0.222222222,0.974480151,0.93715847
21,0.235294118,0.840067058,0.714285714,0.901315789,0.956140351,0.999452764,0,0.979961832,0,0,0,0.93902439,0.333333333,0.027777778,0.949905482,0.987249545
-999,0.705882353,0.966135792,0.80952381,0.664473684,0.876461988,0.99878613,0.983739837,0,0.971204188,0.997797706,0.998646173,0.865853659,1,1,0,0
174,0.294117647,0.922380553,0.80952381,0.276315789,0.891081871,0.998825929,0.982783357,0,0.964223386,0.997906829,0.998815402,0.93902439,0.333333333,0.25,0.952741021,0.952641166
159,0.764705882,0.480637049,0.571428571,0.848684211,0.972953216,0.99917417,0,0.985687023,0,0,0,0.926829268,0.333333333,0.055555556,0.950850662,0.972677596
33,0.647058824,0.624476111,0.904761905,0.013157895,0.896929825,0.998487637,0.989000478,0,0.976439791,0.99835324,0.998775583,0.87804878,0,0.638888889,0.945179584,0.989981785
-999,0.176470588,0.664878458,0.904761905,0.358552632,0.877192982,0.998547336,0.987087518,0.967557252,0,0.998283798,0.999163813,0.87804878,1,1,0,0
-999,0.058823529,0.189438391,0.142857143,0.483552632,0.926169591,0.998905527,0.985652798,0.979961832,0,0,0,0.914634146,1,1,0.972589792,0.93989071
147,0.705882353,0.782564962,0.238095238,0.450657895,0.942982456,0.998905527,0.983261597,0.976145038,0,0.998918694,0.998815402,0.926829268,0,0.833333333,0.963137996,0.961748634
183,0.647058824,0.902095557,0.571428571,0.819078947,0.988304094,0.999502512,0.983739837,0,0,0,0.999213586,0.951219512,0.333333333,0.138888889,0.971644612,0.938979964
126,0.705882353,0.284492875,1,0.243421053,0.878654971,0.998547336,0.988522238,0,0.979057592,0.997748105,0.998636219,0.890243902,0.333333333,0.416666667,0.980151229,0.949908925
-999,0.294117647,0.220620285,0.047619048,0.914473684,0.870614035,0.998517487,0.993304639,0.969465649,0.97469459,0.997986191,0.99872581,0.87804878,0,1,0,0
-999,0.882352941,0.194132439,1,0.868421053,0.880116959,0.998527436,0.992348159,0.971374046,0.97556719,0.997847308,0.998476945,0.890243902,1,1,0.985822306,0.942622951
-999,1,0.146186085,0.19047619,0.930921053,0.930555556,0.998597085,0.988043998,0.972328244,0.978184991,0.998105234,0.998695946,0.914634146,1,1,0,0
72,0.823529412,0.735456832,0.238095238,0.266447368,0.960526316,0.999044824,0.985174558,0,0.969458988,0.998472283,0.998974675,0.93902439,0,0.666666667,0.949905482,0.982695811
-999,0.117647059,0.263034367,0.761904762,0.118421053,0.883040936,0.998696582,0,0,0,0,0,0.93902439,1,1,0,0
240,0.117647059,0.152053646,0.857142857,0.924342105,0.89619883,0.998577185,0.984696318,0.970419847,0.964223386,0.998045712,0.998666083,0.890243902,0.333333333,0.75,0.962192817,0.945355191
22,0.941176471,0.559430008,1,0.398026316,0.877923977,0.99838814,0.991391679,0,0.981675393,0,0,0.890243902,0.333333333,0.555555556,0.948015123,0.992714026
39,0.058823529,0.669404862,1,0.651315789,0.877192982,0.998328441,0.993304639,0,0.983420593,0.99793659,0.998427172,0.890243902,0.333333333,0.138888889,0.957466919,0.97723133
214,0,0.522212909,1,0.292763158,0.872076023,0.998736381,0.986609278,0,0.971204188,0,0.998795493,0.853658537,0.333333333,0.083333333,0.992438563,0.93715847
-999,0.470588235,0.701424979,0.047619048,0.381578947,0.872076023,0.998477688,0.987087518,0.966603053,0.972949389,0,0,0.87804878,1,1,0,0
-999,0.529411765,0.719027661,0.666666667,0.986842105,0.901315789,0.998706532,0,0,0,0,0,0.890243902,1,1,0,0
-999,0.176470588,0.545515507,0.80952381,0.532894737,0.903508772,0.999074673,0.982783357,0,0.965095986,0.998224277,0.999203631,0.926829268,1,1,0,0
157,0.235294118,0.8248114,0.571428571,0.671052632,0.953947368,0.999243819,0.979435677,0.978053435,0,0,0,0.926829268,0.333333333,0.861111111,0.948960302,0.972677596
17,0.117647059,0.153562448,0.666666667,0.358552632,0.907163743,0.998716482,0.987565758,0.96851145,0.97382199,0.997976271,0.998666083,0.902439024,0,0.555555556,0.947069943,0.996357013
117,0.294117647,0.615926236,0.142857143,0.901315789,0.929093567,0.998716482,0.984696318,0.974236641,0.963350785,0.99837308,0.998914948,0.93902439,0,0.888888889,0.956521739,0.967213115
229,0.352941176,0.352724225,0,0.572368421,0.962719298,0.999502512,0.979435677,0.971374046,0.953752182,0.999206381,0.999432587,0.951219512,0.333333333,0.972222222,0.968809074,0.93715847
87,1,0.587426655,0.619047619,0.345394737,0.953216374,0.998845829,0.989478718,0.977099237,0.97556719,0.99875997,0.99911404,0.890243902,0.333333333,0.75,0.956521739,0.962659381
-999,0.764705882,0.392623638,0.380952381,0.069078947,0.91374269,0,0.987087518,0.97519084,0.97469459,0.997976271,0.998765629,0.902439024,1,1,0.959357278,0.946265938
-999,0.058823529,0.375523889,0.904761905,0.588815789,0.886695906,0.99839809,0.99952176,0.969465649,0.987783595,0,0,0.87804878,0,1,0.957466919,0.965391621
135,0.588235294,0.923386421,0.80952381,0.684210526,0.896929825,0.998925427,0.981348637,0,0.963350785,0.998303639,0.998805447,0.926829268,0.333333333,0.333333333,0.949905482,0.978142077
-999,0.823529412,0.11751886,0.714285714,0.055921053,0.942982456,0,0,0,0,0,0,0.951219512,1,1,0.967863894,0.940801457
72,0.588235294,0.846269908,0.142857143,0.671052632,0.929824561,0.99879608,0.985652798,0.976145038,0.965968586,0.998164755,0.998735765,0.914634146,0,0.555555556,0.948960302,0.982695811
-999,0.647058824,0.873093043,0.761904762,0.075657895,0.89619883,0.999014974,0,0,0,0,0,0.926829268,1,1,0,0
213,0.882352941,0.317015926,0.904761905,0.848684211,0.875730994,0,0.989956958,0.970419847,0.982547993,0,0,0.87804878,0,0.222222222,0.965028355,0.955373406
-999,0.058823529,0.009723386,0.761904762,0.476973684,0.891812865,0,0,0,0,0,0,0.926829268,1,1,0,0
-999,0.529411765,0.176026823,0.238095238,0.101973684,0.951023392,0.999283618,0,0.981870229,0,0.998313559,0.998885084,0.87804878,0,1,0,0
-999,1,0.465213747,1,0.644736842,0.854532164,0.998726432,0.984696318,0.960877863,0.966841187,0.99834332,0.998944812,0.829268293,1,1,0,0
-999,0.294117647,0.374350377,0.714285714,0.677631579,0.956140351,0.998945326,0.979435677,0.978053435,0.954624782,0.999017896,0.99924345,0.93902439,1,1,0.95463138,0.973588342
213,0.058823529,0.290695725,0.80952381,0.671052632,0.907163743,0.998985125,0.983261597,0,0.961605585,0.998640927,0.999064267,0.951219512,0.333333333,0.055555556,0.950850662,0.976320583
-999,0.882352941,0.071248952,0.476190476,0.25,0.901315789,0,0,0.96851145,0,0,0,0.890243902,1,1,0.967863894,0.940801457
-999,0.352941176,0.471751886,0.238095238,0.282894737,0.95248538,0.998925427,0.984218077,0.995229008,0.959860384,0,0.999123995,0.890243902,0,1,0,0
128,0.235294118,0.575859179,1,0.391447368,0.877192982,0.99839809,0.992348159,0.96278626,0.980802792,0.997748105,0.998646173,0.87804878,0.333333333,0.861111111,0.958412098,0.969945355
40,0.176470588,0.501927913,0.80952381,0.069078947,0.887426901,0.998706532,0.983739837,0,0.968586387,0.997787786,0.99861631,0.902439024,0.333333333,0.527777778,0.948015123,0.988160291
198,0.647058824,0.786253143,0.952380952,0.901315789,0.913011696,0.99878613,0,0.972328244,0,0,0,0.926829268,0.333333333,0.194444444,0.956521739,0.948087432
42,0.529411765,0.700419111,0.714285714,0.259868421,0.956871345,0.999243819,0.978957437,0,0.961605585,0.999275822,0.999452497,0.93902439,0.333333333,0.694444444,0.949905482,0.990892532
31,0.647058824,0.881139983,0.380952381,0.171052632,0.907894737,0.998517487,0.990913439,0.97519084,0.978184991,0.998045712,0.998476945,0.914634146,0,0.611111111,0.947069943,0.985428051
33,0,0.572003353,0.666666667,0.0625,0.91374269,0.998537386,0,0,0,0,0,0.914634146,0,0,0.946124764,0.991803279
74,0.588235294,0.46387259,0.238095238,0.815789474,0.953947368,0.999014974,0.987565758,0.978053435,0.964223386,0.998888933,0.999223541,0.914634146,0,0.638888889,0.963137996,0.953551913
-999,0.117647059,0.872422464,0.380952381,0.894736842,0.907163743,0.998646833,0.992826399,0,0.972949389,0.997787786,0.998516764,0.914634146,1,1,0,0
171,0.294117647,0.731601006,0.80952381,0.072368421,0.895467836,0.998905527,0.980870397,0,0.958115183,0,0,0.914634146,0.333333333,0.805555556,0.951795841,0.956284153
78,0.882352941,0.703772003,0.619047619,0.986842105,0.956140351,0.99918412,0.982305117,0.973282443,0.963350785,0.998849252,0.999253404,0.93902439,0.333333333,0.527777778,0.949905482,0.976320583
118,0.176470588,0.838222967,1,0.473684211,0.861111111,0.998427939,0.989000478,0,0.979057592,0.997688584,0.998656128,0.841463415,0.333333333,0.111111111,0.968809074,0.951730419
193,0.294117647,0.692036882,0.571428571,0.555921053,0.96125731,0.999213969,0.988043998,0,0.967713787,0.998829412,0.999303178,0.93902439,0.333333333,0.666666667,0.9536862,0.956284153
203,0.176470588,0.24341995,0.904761905,0.440789474,0.889619883,0.998537386,0.992826399,0.965648855,0.986910995,0.998105234,0.998885084,0.914634146,0,0.027777778,0.959357278,0.952641166
-999,0.294117647,0.843587594,0.238095238,0.177631579,0.970760234,0.999074673,0.982305117,0.979007634,0.966841187,0.998859172,0.999412678,0.926829268,1,1,0,0
-999,0.294117647,0.048449288,0.380952381,0.118421053,0.900584795,0.998646833,0,0.979961832,0.972949389,0,0,0.902439024,1,1,0,0
183,0.588235294,0.261190277,0.80952381,0.753289474,0.885233918,0.998945326,0.982305117,0,0.961605585,0.998521884,0.998944812,0.902439024,0.333333333,0.138888889,0.951795841,0.967213115
-999,0.529411765,0.694216262,0.857142857,0.819078947,0.891812865,0.998507537,0.989478718,0.969465649,0.97469459,0,0,0.87804878,1,1,0,0
-999,0.411764706,0.803185247,0.142857143,0.032894737,0.916666667,0.998835879,0.985652798,0.978053435,0.964223386,0.998224277,0.998765629,0.926829268,0,1,0,0
-999,0.705882353,0.351047779,0.666666667,0.651315789,0.89619883,0.998756281,0.984218077,0.97519084,0.972949389,0.998273878,0.998904993,0.865853659,1,1,0.962192817,0.952641166
44,0.176470588,0.868063705,1,0.769736842,0.876461988,0.998467738,0.993304639,0,0.97556719,0.998065553,0.998785538,0.914634146,0.333333333,0.555555556,0.951795841,0.987249545
89,0.294117647,0.446940486,0.952380952,0.769736842,0.910087719,0.998447838,0.994739359,0.97519084,0.979057592,0,0,0.93902439,0.333333333,0.916666667,0.948015123,0.985428051
-999,0.176470588,0.449119866,0.80952381,0.088815789,0.890350877,0.998517487,0.989478718,0,0.968586387,0.997758025,0.998526718,0.902439024,1,1,0.95463138,0.954462659
-999,0.705882353,0.027158424,0.142857143,0.243421053,0.90497076,0.998756281,0.988522238,0,0.983420593,0.997986191,0.998447081,0.951219512,0,1,0,0
227,0.235294118,0.769991618,0.333333333,0.046052632,0.905701754,0.998597085,0.984696318,0.978053435,0.97382199,0.998125074,0,0.890243902,0.333333333,0.25,0.946124764,0.958105647
-999,0.117647059,0.549538977,1,0.993421053,0.872807018,0.998666733,0.988043998,0,0.976439791,0.997906829,0.998476945,0.890243902,1,1,0,0
-999,0.529411765,0.116680637,0.428571429,0.555921053,0.86622807,0.998845829,0,0,0,0,0,0.87804878,1,1,0,0
109,0.235294118,0.716512992,0.571428571,0.684210526,0.957602339,0.999333366,0.977522716,0.981870229,0.959860384,0.998551645,0.999163813,0.926829268,0.333333333,0.722222222,0.949905482,0.970856102
-999,0.235294118,0.22078793,0.904761905,0.924342105,0.870614035,0.998547336,0.983261597,0.971374046,0.968586387,0.997916749,0.998885084,0.865853659,1,1,0,0
-999,0.823529412,0.609723386,1,0.799342105,0.885233918,0.998517487,0.988043998,0.965648855,0.979057592,0,0,0.890243902,1,1,0,0
58,0.705882353,0.850796312,0.047619048,0.450657895,0.877192982,0.998417989,0.991391679,0.973282443,0.981675393,0.997619142,0.998417217,0.890243902,0,0.75,0.958412098,0.966302368
-999,0.941176471,0.58541492,0.19047619,0.815789474,0.918128655,0.998905527,0.986131038,0,0.971204188,0.998472283,0.999064267,0.914634146,1,1,0,0
-999,0.588235294,0.528080469,0.80952381,0.621710526,0.888888889,0.998716482,0.983739837,0,0.966841187,0.99752986,0.998646173,0.87804878,1,1,0,0
-999,0.529411765,0.877619447,0.571428571,0.453947368,0.959795322,0.999094572,0.982783357,0,0.962478185,0,0.999313132,0.926829268,1,1,0.960302457,0.948998179
-999,0.470588235,0.224308466,0.238095238,0.901315789,0.953947368,0.998925427,0,0,0,0,0,0.914634146,1,1,0,0
74,1,0.083319363,0.095238095,0.5,0.877923977,0.998467738,0.988522238,0.963740458,0.97556719,0.997609222,0.998407263,0.914634146,0,0.944444444,0.95557656,0.978142077
214,0.411764706,0.292204526,0.714285714,0.052631579,0.957602339,0.998955276,0.979913917,0.976145038,0.958987784,0.998730209,0.999442542,0.93902439,0.333333333,0.333333333,0.960302457,0.954462659
-999,0.176470588,0.562615256,0.380952381,0.848684211,0.909356725,0.99880603,0.983739837,0.96851145,0.972076789,0,0,0.914634146,1,1,0,0
-999,0.705882353,0.748030176,0.19047619,0.259868421,0.964181287,0.99919407,0,0,0,0,0,0.890243902,1,1,0.965973535,0.956284153
112,0,0.635540654,0.666666667,0.450657895,0.898391813,0.998447838,0.992826399,0.981870229,0,0,0,0.87804878,0,0.138888889,0.963137996,0.948087432
7,0.058823529,0.950041911,1,0.769736842,0.878654971,0.998278693,0,0,0,0.997966351,0,0.890243902,0.333333333,0.555555556,0.947069943,0.995446266
-999,0,0.778876781,0.571428571,0.069078947,0.958333333,0.999054773,0,0.983778626,0,0,0,0.951219512,1,1,0,0
163,0.529411765,0.528918692,0.714285714,0.430921053,0.96125731,0.999323417,0.982783357,0.972328244,0.959860384,0.999067497,0.999323087,0.93902439,0.333333333,0.138888889,0.957466919,0.961748634
-999,0.764705882,0.086169321,0.952380952,0.756578947,0.915935673,0.998656783,0.983261597,0.97519084,0.97469459,0,0,0.914634146,1,1,0.959357278,0.949908925
152,0.411764706,0.891198659,0.80952381,0.588815789,0.890350877,0.999014974,0.983739837,0,0.962478185,0.99793659,0.998566537,0.914634146,0.333333333,0.333333333,0.95463138,0.951730419
-999,0.882352941,0.382900251,1,0.930921053,0.856725146,0,0,0,0,0,0,0.817073171,1,1,0.974480151,0.952641166
215,0.529411765,0.924224644,0.333333333,0.930921053,0.910087719,0.998835879,0.989000478,0.98759542,0.97556719,0.998244117,0.998865175,0.890243902,0.333333333,0.666666667,0.945179584,0.947176685
-999,0.529411765,0.953897737,0.80952381,0.832236842,0.899853801,0.999005025,0,0,0.958987784,0.998174676,0.998954766,0.951219512,1,1,0.9536862,0.969034608
19,0.176470588,0.705616094,0.904761905,0.845394737,0.877923977,0.998408039,0.989956958,0.96851145,0.976439791,0.997579461,0.998546627,0.87804878,0,0.916666667,0.947069943,0.990892532
145,0,0.73612741,0.142857143,0.924342105,0.915935673,0.998607034,0.987087518,0,0.97469459,0,0.998805447,0.914634146,0,0.75,0.962192817,0.960837887
60,0.588235294,0.609555742,0.142857143,0.516447368,0.929824561,0.998875678,0.985174558,0.974236641,0.971204188,0.997807627,0.998895039,0.926829268,0,0.111111111,0.948015123,0.989071038
-999,0.470588235,0.503436714,0.714285714,0.904605263,0.947368421,0.999233869,0.981348637,0.97519084,0.960732984,0.998551645,0.999034403,0.926829268,1,1,0,0
-999,0.823529412,0.266890193,0.952380952,0.746710526,0.917397661,0.998706532,0.987087518,0.972328244,0.972949389,0.998472283,0.999034403,0.951219512,1,1,0.957466919,0.953551913
-999,0.117647059,0.720704107,1,0.529605263,0.887426901,0.998427939,0.994261119,0.973282443,0.979057592,0.998065553,0.998586446,0.902439024,1,1,0,0
63,0.176470588,0.105280805,0.857142857,0.555921053,0.88377193,0.998497587,0.990913439,0.973282443,0.978184991,0.997976271,0.998586446,0.853658537,0.333333333,0.305555556,0.949905482,0.97996357
217,0.058823529,0.51533948,0.714285714,0.924342105,0.97002924,0.999353266,0,0,0,0,0,0.963414634,0.333333333,0.194444444,0.964083176,0.945355191
237,0.470588235,0.139312657,0.142857143,0.921052632,0.926169591,0.998706532,0.989000478,0,0.963350785,0.998174676,0.998825356,0.914634146,0,0.805555556,0.95557656,0.973588342
226,0.411764706,0.386253143,0.142857143,0.684210526,0.923245614,0.998746331,0,0,0,0,0,0.93902439,0,0.611111111,0.961247637,0.966302368
31,0.529411765,0.93394803,0,0.986842105,0.958333333,0.999532362,0.982783357,0.973282443,0.956369983,0.99877981,0.999203631,0.926829268,0.333333333,0.222222222,0.945179584,0.980874317
171,0.823529412,0.720368818,0.80952381,0.970394737,0.894005848,0.999044824,0.981348637,0,0.955497382,0.99837308,0.998845266,0.93902439,0.333333333,0.222222222,0.952741021,0.971766849
243,0.588235294,0.567979883,0.238095238,0.092105263,0.944444444,0,0,0.98759542,0,0,0,0.914634146,0,0.805555556,0.967863894,0.943533698
-999,0.823529412,0.564459346,0.571428571,0.398026316,0.951754386,0.999293567,0.983739837,0.967557252,0.961605585,0,0,0.926829268,1,1,0.962192817,0.93989071
-999,0.882352941,0.875272422,1,0.555921053,0.877923977,0.998487637,0.992348159,0.966603053,0.980802792,0.997758025,0.998576491,0.87804878,1,1,0,0
129,0.882352941,0.403520536,0.047619048,0.328947368,0.882309942,0.998358291,0.990435198,0,0.987783595,0.997787786,0.998506809,0.902439024,0,0.694444444,0.960302457,0.966302368
38,0.529411765,0.656831517,0.380952381,0.638157895,0.906432749,0.99877618,0.987087518,0,0.970331588,0.998105234,0.998715856,0.890243902,0,0.777777778,0.946124764,0.992714026
-999,0.529411765,0.172673931,0.714285714,0.398026316,0.972222222,0.999034874,0,0.977099237,0,0,0,0.93902439,1,1,0,0
131,0.529411765,0.662699078,0.857142857,0.769736842,0.891812865,0.998607034,0,0,0,0,0,0.865853659,0.333333333,0.805555556,0.952741021,0.971766849
80,0.235294118,0.128415759,0.666666667,0.457236842,0.899122807,0.998696582,0.986609278,0.969465649,0.976439791,0.998194516,0.998845266,0.902439024,0,0.722222222,0.957466919,0.965391621
-999,0,0.343503772,0.80952381,0.381578947,0.872076023,0.998557286,0,0,0,0,0,0.865853659,1,1,0,0
-999,0.647058824,0.295725063,0.238095238,0.828947368,0.959795322,0.998945326,0.980870397,0.981870229,0.964223386,0.998273878,0.998885084,0.926829268,1,1,0.963137996,0.950819672
89,0.176470588,0.007711651,0.904761905,0.924342105,0.893274854,0.998537386,0.989000478,0.96851145,0,0,0,0.926829268,0,0.305555556,0.952741021,0.968123862
182,0.529411765,0.588432523,0.857142857,0.664473684,0.873538012,0.998477688,0.989478718,0.972328244,0.978184991,0.997847308,0.998646173,0.841463415,0.333333333,0.111111111,0.958412098,0.9571949
-999,0.235294118,0.856999162,1,0.203947368,0.880116959,0.998567235,0.983261597,0,0.969458988,0.998095314,0.998924902,0.890243902,1,1,0,0
107,0.529411765,0.121709975,0,0.118421053,0.959795322,0.998945326,0.980870397,0.982824427,0.965968586,0.998283798,0.999183722,0.914634146,0.333333333,0.916666667,0.946124764,0.97996357
65,0.352941176,0.483487008,0.047619048,0.782894737,0.873538012,0.998457788,0.991869919,0.96851145,0.982547993,0.997847308,0.998496854,0.87804878,0,0.861111111,0.950850662,0.981785064
42,0.882352941,0.324224644,0.80952381,0.516447368,0.896929825,0.998646833,0.985174558,0,0.969458988,0.998006032,0.998566537,0.926829268,0.333333333,0.25,0.947069943,0.990892532
28,0.235294118,0.630678961,0.142857143,0.901315789,0.928362573,0.99877618,0.985174558,0.982824427,0.965968586,0.998055633,0.998845266,0.926829268,0,0.833333333,0.948960302,0.989981785
99,0.588235294,0.213411567,0.952380952,0.184210526,0.920321637,0.998845829,0.987565758,0,0.976439791,0.998392921,0.998885084,0.951219512,0.333333333,0.055555556,0.950850662,0.959016393
36,0.352941176,0.305951383,1,0.506578947,0.855994152,0.998487637,0.991391679,0.972328244,0.97469459,0,0.998506809,0.841463415,0.333333333,0.416666667,0.948960302,0.981785064
48,0.647058824,0.288348701,0.380952381,0.470394737,0.902777778,0.998736381,0.986131038,0.979007634,0.970331588,0,0,0.865853659,0,0.777777778,0.946124764,0.989071038
1,0.529411765,0.347694887,0.714285714,0.134868421,0.953947368,0.999005025,0.982783357,0.979007634,0.972949389,0.998561565,0.998885084,0.963414634,0.333333333,0.416666667,0.946124764,0.99726776
-999,0.764705882,0.230176027,0.571428571,0.901315789,0.974415205,0.999791055,0.978957437,0,0.955497382,0.999474227,0.999820817,0.914634146,1,1,0.952741021,0.960837887
-999,0.941176471,0.084157586,0.857142857,0.157894737,0.891812865,0.998706532,0.982783357,0.976145038,0.969458988,0,0,0.829268293,1,1,0,0
-999,0,0.081810562,0.952380952,0.5,0.912280702,0.998756281,0,0,0,0,0,0.951219512,1,1,0,0
-999,0.176470588,0.032355407,0.857142857,0.381578947,0.881578947,0.998447838,0,0.979007634,0.976439791,0,0,0.853658537,1,1,0.962192817,0.948087432
254,0.941176471,0.293713328,0.19047619,0.605263158,0.91374269,0.998746331,0.987565758,0.976145038,0.976439791,0.997847308,0.998785538,0.926829268,0,0.25,0,0
174,0.529411765,0.836881811,1,0.848684211,0.880116959,0.998298592,0.990913439,0.96851145,0.980802792,0.997738185,0.998695946,0.87804878,0.333333333,0,0.957466919,0.970856102
-999,0.176470588,0.743336127,0.523809524,0.924342105,0.916666667,0.999034874,0,0,0,0,0,0.890243902,1,1,0.945179584,0.940801457
204,0.470588235,0.345180218,0.666666667,0.845394737,0.904239766,0.998597085,0.989478718,0.976145038,0.97469459,0,0,0.902439024,0,0.194444444,0.950850662,0.947176685
